Location name,Amount spent (JPY)
Aichi Prefecture,20722
Akita Prefecture,2308
Aomori Prefecture,2149
Chiba Prefecture,21768
Ehime Prefecture,3332
Fukui Prefecture,2398
Fukuoka Prefecture,55409
Fukushima Prefecture,4259
Gifu Prefecture,4913
Gunma Prefecture,4671
Hiroshima Prefecture,7546
Hokkaido,14821
Hyōgo Prefecture,16961
Ibaraki Prefecture,6946
Ishikawa Prefecture,3706
Iwate Prefecture,2608
Kagawa Prefecture,3704
Kagoshima Prefecture,3859
Kanagawa Prefecture,41305
Kumamoto Prefecture,9583
Kyoto Prefecture,10254
Kōchi Prefecture,1811
Mie Prefecture,4143
Miyagi Prefecture,13558
Miyazaki Prefecture,2987
Nagano Prefecture,6052
Nagasaki Prefecture,9986
Nara Prefecture,4263
Niigata Prefecture,4811
Okayama Prefecture,5393
Okinawa Prefecture,7986
Osaka Prefecture,35137
Saga Prefecture,5631
Saitama Prefecture,32305
Shiga Prefecture,9348
Shimane Prefecture,3836
Shizuoka Prefecture,9404
Tochigi Prefecture,3993
Tokushima Prefecture,2512
Tokyo,96173
Tottori Prefecture,3839
Toyama Prefecture,2641
Unknown,≤100
Wakayama Prefecture,2340
Yamagata Prefecture,3363
Yamaguchi Prefecture,4563
Yamanashi Prefecture,2800
Ōita Prefecture,7676
