Location name,Amount spent (PLN)
Greater Poland Voivodeship,3568
Kuyavian-Pomeranian Voivodeship,2017
Lesser Poland Voivodeship,3424
Lower Silesian Voivodeship,2773
Lublin Voivodeship,1879
Lubusz Voivodeship,850
Masovian Voivodeship,9189
Opole Voivodeship,773
Podkarpackie Voivodeship,1512
Podlaskie Voivodeship,885
Pomeranian Voivodeship,2895
Silesian Voivodeship,3700
Unknown,≤100
Warmian-Masurian Voivodeship,1186
West Pomeranian Voivodeship,1574
Łódź Voivodeship,2639
Świętokrzyskie Voivodeship,934
