Location name,Amount spent (PLN)
Greater Poland Voivodeship,5271
Kuyavian-Pomeranian Voivodeship,2935
Lesser Poland Voivodeship,5191
Lower Silesian Voivodeship,4319
Lublin Voivodeship,2778
Lubusz Voivodeship,1508
Masovian Voivodeship,9676
Opole Voivodeship,1083
Podkarpackie Voivodeship,2228
Podlaskie Voivodeship,1374
Pomeranian Voivodeship,3848
Silesian Voivodeship,8298
Unknown,≤100
Warmian-Masurian Voivodeship,1732
West Pomeranian Voivodeship,2757
Łódź Voivodeship,3506
Świętokrzyskie Voivodeship,1354
