Location name,Amount spent (ISK)
Capital Region,36478
Eastern Region,1640
Northeastern Region,3785
Northwestern Region,746
Southern Peninsula,2980
Southern Region,13064
Unknown,≤100
Western Region,871
Westfjords,862
