Location name,Amount spent (RON)
Alba County,1175
Arad County,538
Argeș County,620
Bacău County,977
Bihor County,681
Bistrița-Năsăud County,346
Botoșani County,530
Brașov County,1328
Brăila County,316
Bucharest,3199
Buzău County,383
Caraș-Severin County,318
Cluj County,1232
Constanța County,1197
Covasna County,322
Călărași County,231
Dolj County,583
Dâmbovița County,459
Galați County,523
Giurgiu County,197
Gorj County,381
Harghita County,626
Hunedoara County,679
Ialomița County,199
Iași County,2832
Ilfov County,420
Maramureș County,764
Mehedinți County,278
Mureș County,903
Neamț County,719
Olt County,295
Prahova County,1047
Satu Mare County,433
Sibiu County,599
Suceava County,1024
Sălaj County,314
Teleorman County,229
Timiș County,972
Tulcea County,189
Unknown,≤100
Vaslui County,431
Vrancea County,690
Vâlcea County,582
