Location name,Amount spent (VND)
An Giang Province,7197
Bà Rịa–Vũng Tàu Province,18191
Bình Dương Province,39657
Bình Phước Province,8616
Bình Thuận Province,7947
Bình Định Province,4774
Bạc Liêu Province,7609
Bắc Giang Province,44408
Bắc Kạn Province,2481
Bắc Ninh Province,66804
Bến Tre Province,4701
Cao Bằng Province,103898
Cà Mau Province,10785
Cần Thơ,13002
Da Nang,8795
Gia Lai Province,4337
Haiphong,10791
Ho Chi Minh City,224215
Hà Giang Province,1238
Hà Nam Province,1769
Hà Tĩnh Province,9207
Hòa Bình Province,3780
Hưng Yên Province,3211
Hải Dương Province,13667
Hậu Giang Province,8181
Khánh Hòa Province,13238
Kiên Giang Province,11101
Kon Tum Province,3704
Lai Châu Province,470
Long An Province,13502
Lào Cai Province,1540
Lâm Đồng Province,9621
Lạng Sơn Province,3663
Nam Định Province,4959
Nghệ An Province,69517
Ninh Bình Province,2734
Ninh Thuận Province,2071
Phú Thọ Province,4604
Phú Yên Province,3535
Quảng Bình Province,4302
Quảng Nam Province,4832
Quảng Ngãi Province,5179
Quảng Ninh Province,11515
Quảng Trị Province,2616
Sóc Trăng Province,9155
Sơn La Province,1536
Thanh Hóa Province,15019
Thái Bình Province,37465
Thái Nguyên Province,43233
Thừa Thiên–Huế Province,9221
Tiền Giang Province,12095
Trà Vinh Province,5642
Tuyên Quang Province,2874
Tây Ninh Province,10554
Vĩnh Long Province,8197
Vĩnh Phúc Province,3146
Yên Bái Province,2134
Điện Biên Province,2065
Đắk Lắk Province,90454
Đắk Nông Province,2614
Đồng Nai Province,37361
Đồng Tháp Province,7974
