Location name,Amount spent (PYG)
Alto Paraguay Department,675
Alto Paraná Department,138481
Amambay Department,12226
Asunción,164970
Boquerón department,28350
Caaguazú Department,130850
Caazapá Department,40793
Canindeyú Department,22594
Central Department,368655
Concepción Department (Paraguay),22904
Cordillera Department,46979
Guairá Department,20482
Itapúa Department,62001
Misiones Department,122150
Paraguarí Department,24953
Presidente Hayes Department,11026
San Pedro Department,55070
Unknown,≤100
Ñeembucú Department,71480
