Location name,Amount spent (AUD)
Australian Capital Territory,1496
Jervis Bay Territory,≤100
New South Wales,16191
Norfolk Island,≤100
Northern Territory,1999
Queensland,13421
South Australia,4272
Tasmania,1721
Unknown,≤100
Victoria,15378
Western Australia,8091
