Location name,Amount spent (CAD)
Alberta,37793
British Columbia,8873
Manitoba,4177
New Brunswick,840
Newfoundland and Labrador,927
Northwest Territories,110
Nova Scotia,1345
Nunavut,≤100
Ontario,26768
Prince Edward Island,194
Quebec,11526
Saskatchewan,2541
Unknown,≤100
Yukon,≤100
