Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
516540185063161,MIGAL Galilee Research Institute,These ads ran without a disclaimer,≤100,3
103398468787,Saint-Gobain,These ads ran without a disclaimer,≤100,1
102442924872304,ab8m,These ads ran without a disclaimer,≤100,1
813362708790951,UBP - Union Bancaire Privée,These ads ran without a disclaimer,≤100,2
112905571417586,forever_bahrain2,These ads ran without a disclaimer,≤100,1
107006737684525,newcube,These ads ran without a disclaimer,≤100,1
1517088885216557,AIG,These ads ran without a disclaimer,≤100,3
101254395132311,The Place For Investment,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
105862989077965,jjalb_alhabib_7,These ads ran without a disclaimer,≤100,2
119267852806564,الجزيرة بودكاست,These ads ran without a disclaimer,≤100,1
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
178343122212676,Deafblind International (DbI),These ads ran without a disclaimer,≤100,1
1557231747832291,afikra,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,11
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,1
108091988358295,Travels All Abroad,These ads ran without a disclaimer,≤100,1
102089678252706,Rotary Club for Global Action,These ads ran without a disclaimer,≤100,1
