Location name,Amount spent (EUR)
Harju County,2898
Hiiu County,≤100
Ida-Viru County,243
Järva County,122
Jõgeva County,112
Lääne County,112
Lääne-Viru County,205
Pärnu County,304
Põlva County,≤100
Rapla County,115
Saare County,127
Tartu County,927
Unknown,≤100
Valga County,≤100
Viljandi County,127
Võru County,142
