Location name,Amount spent (EUR)
Blagoevgrad Province,278
Burgas Province,397
Dobrich Province,214
Gabrovo Province,≤100
Haskovo Province,181
Kardzhali Province,106
Kyustendil Province,104
Lovech Province,≤100
Montana Province,≤100
Pazardzhik Province,201
Pernik Province,≤100
Pleven Province,215
Plovdiv Province,866
Razgrad Province,124
Ruse Province,185
Shumen Province,120
Silistra Province,≤100
Sliven Province,378
Smolyan Province,≤100
Sofia City Province,1340
Sofia Province,167
Stara Zagora Province,338
Targovishte Province,115
Unknown,≤100
Varna Province,486
Veliko Tarnovo Province,215
Vidin Province,119
Vratsa Province,159
Yambol Province,113
