Location name,Amount spent (NZD)
Auckland Region,4535
Bay of Plenty Region,733
Canterbury,1449
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,362
Manawatu-Wanganui,571
Marlborough Region,107
Nelson Province,166
Niue,≤100
Northland Region,430
Otago,621
Southland,206
Taranaki,271
Tasman District,102
Tokelau,≤100
Unknown,≤100
Waikato,1264
Wellington Region,1222
West Coast,≤100
