Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
278117815576023,EU Justice and Consumers,EU Justice and Consumers,9219,14
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,6861,4
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,3626,10
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,3381,3
424114981002397,Český rozhlas Plus,Český rozhlas,2060,44
108726857444837,České zájmy v EU,DFMG,1852,3
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,1743,10
632832356800711,Plzeňský Prazdroj,Plzeňský Prazdroj,1608,2
308878909205138,Toyota Česká republika,Toyota Česká republika,1576,1
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,1457,5
137301989386,Aktuálně.cz,Aktuálně.cz,1311,7
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",1297,6
1956144064659620,BlueTV,Aliance pro budoucnost,1148,5
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",1127,2
120461304659141,O2 CZ,O2 Czech republic,1124,2
206791046438534,Plant for the Planet - Česká republika,Plant-for-the-Planet Czech Republic Nadace,1095,5
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,1095,3
460558621177512,Zálohujme.cz,Zálohujme,1001,1
133030253410089,Jan Šafařík,Jan Šafařík,833,4
110945610569821,Odchod.eu,Hnutí Odchod,819,5
101983652354160,Jozef Síkela,Starostové a nezávislí,806,2
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,749,4
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,694,1
267751653384029,Pardubický kraj,Pardubický kraj,645,2
137778619615350,Voyo.cz,TV Nova s. r. o.,644,2
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,623,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,595,3
105994357680102,Avenberg.cz,These ads ran without a disclaimer,563,2
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,537,5
317158175535179,BitLife,These ads ran without a disclaimer,500,5
146713862010620,Martin Baxa,Martin Baxa,491,16
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,479,1
495496033796328,Stanislav Blaha,Stanislav Blaha,479,4
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",455,5
251656685576,KDU-ČSL,KDU-ČSL,426,2
52479821102,Týdeník Respekt,Týdeník Respekt,405,4
