Location name,Amount spent (ZAR)
Eastern Cape,767
Free State,571
Gauteng,4871
KwaZulu-Natal,1525
Limpopo,639
Mpumalanga,482
North West,7845
Northern Cape,197
Unknown,≤100
Western Cape,8728
