Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
214827221987263,Andrej Babiš,ANO,54154,5
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,13853,35
102389958091735,Generál Pavel,Petr Pavel,9977,18
102845669064210,Danuše Nerudová,Danuše Nerudová,9963,53
109882498582200,Osvoboďme Česko,Budovy21 s.r.o.,8098,2
137778619615350,Voyo.cz,TV Nova s. r. o.,7658,3
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,7541,16
206273352289,ADRA CZ,"ADRA, o.p.s.",4881,25
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,3117,16
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,2435,11
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",2299,3
194467420912201,Já volím děti,Já volím děti,2140,13
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",2077,32
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1629,10
317398901621260,IKEA,IKEA,1484,2
108219202036213,Новости Дня,These ads ran without a disclaimer,1259,1
579215965436046,JSNS,"Člověk v tísni, o.p.s.",1249,20
356448681873897,Mikuláš Peksa,Mikuláš Peksa,1155,3
251656685576,KDU-ČSL,KDU-ČSL,1066,9
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,1009,3
1469427909957890,Reportér magazín,Reportér magazín,955,7
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,938,4
236211929833146,Tomáš Zima,ZFP s.r.o,919,9
397919187215,Evropská komise v ČR,Evropská komise v ČR,890,1
605137899592157,STIHL,"Andreas STIHL, spol. s r. o.",862,3
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,856,4
102907672280977,Co bude dál?_________,NFSix.org,836,6
236211929833146,Tomáš Zima,Společnost ZFP s.r.o.,813,5
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",805,5
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,749,4
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,707,6
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",696,10
484488185462817,mujRozhlas,Český rozhlas,696,1
101500052256658,Jan Kavalírek / zastupitel Praha 5,Jan Kavalírek,685,3
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,677,1
203656526961481,Klub Pátečníků - patecnici.cz,Klub Pátečníků s.r.o.,666,9
282033615295005,Mladí lidovci Vysočina,Palan Jan,654,1
693725074166331,Naše zdravotnictví,Naše zdravotnictví,616,6
115589329891193,Konference Budoucnost evropského zemědělství /2022,European Parliament,606,1
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,565,2
424114981002397,Český rozhlas Plus,Český rozhlas,557,14
711658465662315,XTV,XTV,506,3
106534015041138,Kohonevolit.cz,Kohonevolit z. s.,504,1
369035059843617,REMAX Delux,Tomáš Šimek,503,3
980889328631510,Agentura ochrany přírody a krajiny,Agentura ochrany přírody a krajiny České republiky,494,2
52479821102,Týdeník Respekt,Týdeník Respekt,483,4
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,469,2
453697017993990,Aspen Institute Central Europe,Aspen Institute Central Europe,467,3
197010357446014,Ondřej Prokop,Ondrej Prokop,438,2
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,435,7
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",410,20
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,408,4
100201752249169,Spolu21,Občanská demokratická strana,392,2
157741540937883,CARE Česká republika,CARE Česká republika,387,2
101429731974678,Piráti Jihomoravský kraj,Pirátská strana - Jihomoravský kraj,387,8
284944781875,EURACTIV.cz,EURACTIV.cz,343,9
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,326,4
139379141293,Paměť národa,"Post Bellum, z.ú.",295,2
107563435940797,Skanska v ČR a SR,Skanska,280,3
103886325707668,Regulace nikotinu,Regulace nikotinu,273,1
154228456802,Divadlo v Řeznické,"Divadlo v Řeznické, o. p. s.",267,3
578342809023884,Jsme fér,Prague Pride,267,1
113437470509035,Za normální svět,Karel Halačka,263,2
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,261,1
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,250,5
58864692622,Český rozhlas Vltava,Český rozhlas,235,2
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,229,1
55408246161,Amnesty International ČR,Amnesty International ČR,225,1
104940818596176,Akordy Václava Hnátka,Michaela Kaufmanová,225,1
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,222,7
113743658978459,Meltingpot,Meltingpot,215,2
429958040548369,Respilon Česká republika,Respilon Česká republika,213,1
108342850697974,Hejtman Josef Suchánek,Starostové a nezávislí • STAN,212,4
183947234987295,Ministerstvo vnitra,Ministerstvo vnitra ČR,205,13
419916784781866,Společnost E,"Společnost E / Czech Epilepsy Association, z. s.",204,2
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,198,1
125830487980906,Solární asociace,Solární asociace,193,2
180888668609092,Datlab,Datlab institut z.s.,188,2
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,188,1
1382379128444365,Margita Balaštíková - poslankyně,Margita Balaštíková,182,1
159935454034044,Pirátská strana - Karlovarský kraj,Česká pirátská strana,182,5
2156599824411421,"Vojtěch Kos, starosta Prahy 12",Vojtěch Kos,179,2
278897495559360,Kraj Vysočina,Kraj Vysočina,174,1
156028837846667,THERMOSERVIS - TRANSPORT s.r.o.,THERMOSERVIS - TRANSPORT s.r.o.,172,1
378827025796132,Peak.cz,Peak.cz,164,16
460558621177512,Zálohujme.cz,Zálohujme,162,1
123858471641,iROZHLAS.cz,Český rozhlas,156,1
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková,155,5
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",155,1
1661722700752175,Univerzita Hradec Králové,Univerzita Hradec Králové,155,4
109501160564065,Mariana Čapková - místostarostka Prahy 6,PRAHA SOBĚ,154,3
129090553792481,Central Group,CENTRAL GROUP a.s.,153,1
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,148,2
108926818582146,My jsme Přísaha Pohořelice,Přísaha občanské hnutí Roberta Šlachty,147,1
287724754662359,HateFree Culture,HateFree Culture,138,2
609246842426009,Rekonstrukce státu,Rekonstrukce státu,135,2
201535993705342,Radim Sršeň,Radim Sršeň,124,1
321762510282,Michal Kučera,Michal Kučera,120,5
