Location name,Amount spent (EUR)
Alsace,795
Aquitaine,1504
Auvergne,491
Basse-Normandie,497
Bourgogne,544
Bretagne,1269
Centre,914
Champagne-Ardenne,517
Corse,151
Franche-Comté,389
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,725
Languedoc-Roussillon,1301
Limousin,237
Lorraine,1003
Martinique,137
Mayotte,≤100
Midi-Pyrénées,1299
New Caledonia,≤100
Nord-Pas-de-Calais,1586
Pays de la Loire,1449
Picardie,702
Poitou-Charentes,678
Provence-Alpes-Côte d'Azur,2713
Reunion Island,233
Rhône-Alpes,2747
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,6466
