Location name,Amount spent (MXN)
Aguascalientes,6378
Baja California,45048
Baja California Sur,2794
Campeche,7793
Chiapas,9577
Chihuahua,48425
Coahuila de Zaragoza,128759
Colima,3567
Distrito Federal,124542
Durango,5972
Guanajuato,53219
Guerrero,8207
Hidalgo,10582
Jalisco,159308
Michoacán de Ocampo,40848
Morelos,23563
Nayarit,3933
Nuevo León,118760
Oaxaca,10464
Puebla,50034
Querétaro Arteaga,15515
Quintana Roo,53246
San Luis Potosi,33875
Sinaloa,21361
Sonora,31653
State of Mexico,302432
Tabasco,6135
Tamaulipas,41879
Tlaxcala,5746
Unknown,≤100
Veracruz,30252
Yucatán,15812
Zacatecas,4718
