Location name,Amount spent (EGP)
Al Sharqia Governorate,2405
Alexandria Governorate,1971
Aswan Governorate,301
Asyut Governorate,710
Beheira Governorate,1267
Beni Suef Governorate,476
Cairo Governorate,4426
Dakahlia Governorate,2488
Damietta Governorate,588
Faiyum Governorate,398
Gharbia Governorate,1492
Giza Governorate,1374
Ismailia Governorate,390
Kafr el-Sheikh Governorate,989
Luxor Governorate,226
Matrouh Governorate,≤100
Minya Governorate,872
Monufia Governorate,1116
New Valley Governorate,≤100
North Sinai Governorate,155
Port Said Governorate,253
Qalyubia Governorate,1152
Qena Governorate,539
Red Sea Governorate,203
Sohag Governorate,769
South Sinai Governorate,≤100
Suez Governorate,254
Unknown,≤100
