Location name,Amount spent (ISK)
Capital Region,37136
Eastern Region,1369
Northeastern Region,4648
Northwestern Region,905
Southern Peninsula,3103
Southern Region,3464
Unknown,≤100
Western Region,839
Westfjords,852
