Location name,Amount spent (LBP)
Beirut Governorate,3297397
Beqaa Governorate,855255
Mount Lebanon Governorate,1940606
Nabatieh Governorate,368809
North Governorate,1517633
South Governorate,597056
Unknown,≤100
