Location name,Amount spent (INR)
Andaman and Nicobar Islands,257
Andhra Pradesh,77760
Arunachal Pradesh,1722
Assam,22712
Bihar,64477
Chandigarh,1953
Chhattisgarh,19454
Dadra and Nagar Haveli,1086
Delhi,44499
Goa,2026
Gujarat,42146
Haryana,39301
Himachal Pradesh,12555
Jammu and Kashmir,15299
Jharkhand,16230
Karnataka,157088
Kerala,14956
Lakshadweep,≤100
Madhya Pradesh,74247
Maharashtra,178327
Manipur,1855
Meghalaya,133677
Mizoram,792
Nagaland,46820
Odisha,13446
Puducherry,1800
Punjab region,26155
Rajasthan,101366
Sikkim,643
Tamil Nadu,39437
Telangana,59615
Tripura,499378
Unknown,≤100
Uttar Pradesh,102527
Uttarakhand,12505
West Bengal,72509
