Location name,Amount spent (PKR)
Azad Kashmir,1288
Balochistan,1985
Federally Administered Tribal Areas,410
Gilgit-Baltistan,742
Islamabad Capital Territory,33189
Khyber Pakhtunkhwa,21093
Punjab,44670
Sindh,15379
Unknown,≤100
