Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
112222891627032,Häsch #gwösst,Häsch #gwösst,≤100,6
709351105754847,FBP-Ortsgruppe Balzers,FBP-Ortsgruppe Balzers,≤100,14
386589190940,Vaterländische Union (VU),Vaterländische Union,≤100,1
596046163789199,FBP Vaduz,FBP Ortsgruppe Vaduz,≤100,9
344789435692532,FBP-Ortsgruppe Eschen-Nendeln,FBP-Ortsgruppe Eschen-Nendeln,≤100,2
553466211453035,VU Ortsgruppe Ruggell,Stiftung Vaterländische Union,≤100,1
198750386922784,Valeria Basurco,These ads ran without a disclaimer,≤100,1
462478407118689,Marjan Farsad,These ads ran without a disclaimer,≤100,1
105699708610413,The Kyiv Independent,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,9
