Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,269
Apurímac Region,≤100
Arequipa Region,306
Ayacucho Region,≤100
Cajamarca Region,247
Callao,113
Cusco Region,242
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,242
Junín Region,176
La Libertad Region,425
Lambayeque Region,260
Lima Region,1742
Loreto Region,227
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,386
Puno Region,283
San Martín Region,158
Tacna Region,102
Tumbes Region,≤100
Ucayali Region,146
Unknown,≤100
