Location name,Amount spent (DKK)
Capital Region of Denmark,59363
Central Denmark Region,32033
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,15103
Region of Southern Denmark,29992
Unknown,≤100
Zealand Region,19291
