Location name,Amount spent (ZAR)
Eastern Cape,2801
Free State,1545
Gauteng,12022
KwaZulu-Natal,4656
Limpopo,2411
Mpumalanga,2313
North West,1268
Northern Cape,587
Unknown,≤100
Western Cape,10359
