Location name,Amount spent (USD)
Azuay Province,269
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,150
Cotopaxi Province,136
El Oro Province,235
Esmeraldas Province,186
Galápagos Province,≤100
Guayas Province,1157
Imbabura Province,156
Loja Province,142
Los Ríos Province,351
Manabí Province,790
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,938
Santa Elena Province,116
Santo Domingo de los Tsáchilas Province,161
Sucumbíos Province,≤100
Tungurahua Province,184
Unknown,≤100
Zamora-Chinchipe Province,≤100
