Location name,Amount spent (IDR)
Aceh,1754525
Bali,2082361
Bangka–Belitung Islands,436979
Banten,4917207
Bengkulu,979333
Central Java,20555245
Central Kalimantan,901226
Central Sulawesi,1149049
East Java,18359817
East Kalimantan,1914373
East Nusa Tenggara,1724824
Gorontalo,843719
Jakarta,16754512
Jambi,1184246
Lampung,3908786
Maluku,906527
North Kalimantan,555424
North Maluku,402885
North Sulawesi,2633229
North Sumatra,5210938
Papua (province),848982
Riau,2325099
Riau Islands Province,1042881
South Kalimantan,1818318
South Sulawesi,4911065
South Sumatra,3792433
Southeast Sulawesi,823485
Special Region of Yogyakarta,2152337
Unknown,14032
West Java,16616009
West Kalimantan,2014079
West Nusa Tenggara,1740838
West Papua,366927
West Sulawesi,453607
West Sumatra,2289366
