Location name,Amount spent (EUR)
Baden-Württemberg,6113
Bayern,8371
Berlin,3506
Brandenburg,1304
Bremen,495
Hamburg,1756
Hessen,4291
Mecklenburg-Vorpommern,845
Niedersachsen,4511
Nordrhein-Westfalen,11066
Rheinland-Pfalz,2389
Saarland,731
Sachsen,2190
Saxony-Anhalt,1053
Schleswig-Holstein,1615
Thüringen,1015
Unknown,≤100
