Location name,Amount spent (INR)
Andaman and Nicobar Islands,192
Andhra Pradesh,128141
Arunachal Pradesh,1132
Assam,17448
Bihar,77074
Chandigarh,3693
Chhattisgarh,195507
Dadra and Nagar Haveli,688
Delhi,49734
Goa,3367
Gujarat,56776
Haryana,36660
Himachal Pradesh,12830
Jammu and Kashmir,6239
Jharkhand,18755
Karnataka,47873
Kerala,17303
Lakshadweep,≤100
Madhya Pradesh,245017
Maharashtra,175196
Manipur,292
Meghalaya,797
Mizoram,1966
Nagaland,565
Odisha,13465
Puducherry,495
Punjab region,28660
Rajasthan,361907
Sikkim,641
Tamil Nadu,41114
Telangana,144965
Tripura,1658
Unknown,101
Uttar Pradesh,112245
Uttarakhand,18366
West Bengal,35233
