Location name,Amount spent (EGP)
Al Sharqia Governorate,613
Alexandria Governorate,784
Aswan Governorate,≤100
Asyut Governorate,195
Beheira Governorate,465
Beni Suef Governorate,158
Cairo Governorate,3028
Dakahlia Governorate,478
Damietta Governorate,149
Faiyum Governorate,143
Gharbia Governorate,460
Giza Governorate,923
Ismailia Governorate,≤100
Kafr el-Sheikh Governorate,254
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,245
Monufia Governorate,418
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,≤100
Qalyubia Governorate,1145
Qena Governorate,141
Red Sea Governorate,≤100
Sohag Governorate,214
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
