Location name,Amount spent (SEK)
Blekinge County,4094
Dalarna County,9057
Gotland County,2364
Gävleborg County,9008
Halland County,8560
Jämtland County,4351
Jönköping County,9663
Kalmar County,6519
Kronoberg County,5140
Norrbotten County,8341
Skåne County,37585
Stockholm County,77394
Södermanland County,8596
Unknown,≤100
Uppsala County,11932
Värmland County,8055
Västerbotten County,9604
Västernorrland County,8015
Västmanland County,7556
Västra Götaland County,49738
Örebro County,8817
Östergötland County,12286
