Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,398
Apurímac Region,109
Arequipa Region,451
Ayacucho Region,177
Cajamarca Region,492
Callao,450
Cusco Region,1316
Huancavelica Region,≤100
Huánuco Region,214
Ica Region,306
Junín Region,301
La Libertad Region,719
Lambayeque Region,508
Lima Region,6355
Loreto Region,300
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,704
Puno Region,426
San Martín Region,270
Tacna Region,147
Tumbes Region,107
Ucayali Region,303
Unknown,≤100
