Location name,Amount spent (PLN)
Greater Poland Voivodeship,5605
Kuyavian-Pomeranian Voivodeship,4087
Lesser Poland Voivodeship,4580
Lower Silesian Voivodeship,4756
Lublin Voivodeship,2490
Lubusz Voivodeship,2180
Masovian Voivodeship,11969
Opole Voivodeship,1388
Podkarpackie Voivodeship,2091
Podlaskie Voivodeship,1308
Pomeranian Voivodeship,4445
Silesian Voivodeship,6251
Unknown,≤100
Warmian-Masurian Voivodeship,2971
West Pomeranian Voivodeship,3381
Łódź Voivodeship,6226
Świętokrzyskie Voivodeship,1449
