Location name,Amount spent (USD)
Al Anbar Governorate,150
Al-Qādisiyyah Governorate,≤100
Babil Governorate,109
Baghdad Governorate,508
Basra Governorate,121
Dhi Qar Governorate,102
Diyala Governorate,108
Dohuk Governorate,210
Erbil Governorate,556
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,199
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,268
Saladin Governorate,≤100
Sulaymaniyah Governorate,453
Unknown,≤100
Wasit Governorate,≤100
