Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,7541,2
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,2499,1
109536051432220,Olga Morera - Diputada,Olga Morera Arrieta,2225,1
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,1616,1
1599595763404823,Danny Vargas Diputado,Danny Vargas Diputado,1186,2
108398531552301,Parlamento Cívico Ambiental - Costa Rica,These ads ran without a disclaimer,1044,1
102643532445938,Ada Acuña - Diputada,Jacqui Solano,977,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100,1
542698955909272,Golden Capital FX,These ads ran without a disclaimer,≤100,1
401216590272929,Amazon Kindle Direct Publishing - SP,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
