Location name,Amount spent (ZAR)
Eastern Cape,710
Free State,295
Gauteng,2603
KwaZulu-Natal,897
Limpopo,249
Mpumalanga,299
North West,236
Northern Cape,231
Unknown,≤100
Western Cape,5855
