Location name,Amount spent (PLN)
Greater Poland Voivodeship,3503
Kuyavian-Pomeranian Voivodeship,2276
Lesser Poland Voivodeship,3956
Lower Silesian Voivodeship,3258
Lublin Voivodeship,1858
Lubusz Voivodeship,742
Masovian Voivodeship,7597
Opole Voivodeship,782
Podkarpackie Voivodeship,1415
Podlaskie Voivodeship,915
Pomeranian Voivodeship,2386
Silesian Voivodeship,3611
Unknown,≤100
Warmian-Masurian Voivodeship,1019
West Pomeranian Voivodeship,1684
Łódź Voivodeship,2486
Świętokrzyskie Voivodeship,825
