Location name,Amount spent (PKR)
Azad Kashmir,661
Balochistan,971
Federally Administered Tribal Areas,207
Gilgit-Baltistan,361
Islamabad Capital Territory,3412
Khyber Pakhtunkhwa,4699
Punjab,15570
Sindh,5431
Unknown,≤100
