Location name,Amount spent (EGP)
Al Sharqia Governorate,4129
Alexandria Governorate,971
Aswan Governorate,400
Asyut Governorate,371
Beheira Governorate,563
Beni Suef Governorate,228
Cairo Governorate,2536
Dakahlia Governorate,1077
Damietta Governorate,281
Faiyum Governorate,214
Gharbia Governorate,898
Giza Governorate,1173
Ismailia Governorate,298
Kafr el-Sheikh Governorate,474
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,550
Monufia Governorate,697
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,136
Qalyubia Governorate,1016
Qena Governorate,248
Red Sea Governorate,≤100
Sohag Governorate,371
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
