Location name,Amount spent (HUF)
Baranya County,77034
Borsod-Abaúj-Zemplén County,128118
Budapest,522380
Bács-Kiskun County,111174
Békés County,73220
Csongrád County,87750
Fejér County,90903
Győr-Moson-Sopron County,88318
Hajdú-Bihar County,100973
Heves County,53061
Jász-Nagykun-Szolnok County,74650
Komárom-Esztergom County,56485
Nógrád County,32062
Pest County,216154
Somogy County,55688
Szabolcs-Szatmár-Bereg County,92753
Tolna County,50011
Unknown,≤100
Vas County,61424
Veszprém County,65016
Zala County,56165
