Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,112
Baghdad Governorate,487
Basra Governorate,125
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,142
Erbil Governorate,269
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,142
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,220
Saladin Governorate,≤100
Sulaymaniyah Governorate,278
Unknown,≤100
Wasit Governorate,≤100
