Location name,Amount spent (DKK)
Capital Region of Denmark,53050
Central Denmark Region,26660
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11007
Region of Southern Denmark,23016
Unknown,≤100
Zealand Region,14291
