Location name,Amount spent (PKR)
Azad Kashmir,1373
Balochistan,1042
Federally Administered Tribal Areas,300
Gilgit-Baltistan,551
Islamabad Capital Territory,1769
Khyber Pakhtunkhwa,7661
Punjab,27123
Sindh,118659
Unknown,≤100
