Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
173356406366158,States Assembly - Jersey’s elected parliament,States Assembly,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,2
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,1
139654236100628,يونيسف – اليمن UNICEF Yemen,These ads ran without a disclaimer,≤100,2
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,1
157586528019668,Nigel Ng,These ads ran without a disclaimer,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,5
112864228133921,Funnies Now - Stories,These ads ran without a disclaimer,≤100,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
