Location name,Amount spent (SEK)
Blekinge County,4834
Dalarna County,10064
Gotland County,2200
Gävleborg County,10583
Halland County,10053
Jämtland County,5195
Jönköping County,13180
Kalmar County,8261
Kronoberg County,6466
Norrbotten County,9437
Skåne County,51868
Stockholm County,100964
Södermanland County,11033
Unknown,114
Uppsala County,25009
Värmland County,9271
Västerbotten County,9588
Västernorrland County,8713
Västmanland County,9365
Västra Götaland County,60380
Örebro County,10817
Östergötland County,16131
