Location name,Amount spent (HUF)
Baranya County,94549
Borsod-Abaúj-Zemplén County,163182
Budapest,536311
Bács-Kiskun County,117654
Békés County,82146
Csongrád County,129487
Fejér County,137118
Győr-Moson-Sopron County,111642
Hajdú-Bihar County,103755
Heves County,98975
Jász-Nagykun-Szolnok County,108209
Komárom-Esztergom County,84288
Nógrád County,50115
Pest County,311014
Somogy County,75771
Szabolcs-Szatmár-Bereg County,131669
Tolna County,55368
Unknown,≤100
Vas County,67041
Veszprém County,88171
Zala County,66742
