Location name,Amount spent (MXN)
Aguascalientes,12534
Baja California,62237
Baja California Sur,9901
Campeche,16865
Chiapas,52702
Chihuahua,43632
Coahuila de Zaragoza,37722
Colima,11087
Distrito Federal,127683
Durango,15842
Guanajuato,68580
Guerrero,31243
Hidalgo,26364
Jalisco,175811
Michoacán de Ocampo,56187
Morelos,33560
Nayarit,10879
Nuevo León,94090
Oaxaca,41689
Puebla,109619
Querétaro Arteaga,22814
Quintana Roo,60508
San Luis Potosi,35578
Sinaloa,53223
Sonora,55982
State of Mexico,125803
Tabasco,24016
Tamaulipas,64582
Tlaxcala,13780
Unknown,≤100
Veracruz,68598
Yucatán,52143
Zacatecas,15173
