Location name,Amount spent (EUR)
Alsace,1000
Aquitaine,1711
Auvergne,558
Basse-Normandie,574
Bourgogne,698
Bretagne,1421
Centre,1072
Champagne-Ardenne,554
Corse,217
Franche-Comté,475
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,766
Languedoc-Roussillon,1628
Limousin,304
Lorraine,1051
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1435
New Caledonia,≤100
Nord-Pas-de-Calais,1803
Pays de la Loire,1559
Picardie,785
Poitou-Charentes,777
Provence-Alpes-Côte d'Azur,3339
Reunion Island,≤100
Rhône-Alpes,3452
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7392
