Location name,Amount spent (HUF)
Baranya County,192504
Borsod-Abaúj-Zemplén County,287081
Budapest,1068656
Bács-Kiskun County,239679
Békés County,168878
Csongrád County,206956
Fejér County,223408
Győr-Moson-Sopron County,248048
Hajdú-Bihar County,258184
Heves County,152757
Jász-Nagykun-Szolnok County,175384
Komárom-Esztergom County,149737
Nógrád County,91352
Pest County,601371
Somogy County,133894
Szabolcs-Szatmár-Bereg County,242427
Tolna County,107041
Unknown,≤100
Vas County,135707
Veszprém County,154425
Zala County,141289
