Location name,Amount spent (JPY)
Aichi Prefecture,36140
Akita Prefecture,2345
Aomori Prefecture,3270
Chiba Prefecture,33254
Ehime Prefecture,4986
Fukui Prefecture,3647
Fukuoka Prefecture,55680
Fukushima Prefecture,4859
Gifu Prefecture,7319
Gunma Prefecture,7479
Hiroshima Prefecture,16537
Hokkaido,20556
Hyōgo Prefecture,23953
Ibaraki Prefecture,9698
Ishikawa Prefecture,4856
Iwate Prefecture,2993
Kagawa Prefecture,7213
Kagoshima Prefecture,5463
Kanagawa Prefecture,62769
Kumamoto Prefecture,8967
Kyoto Prefecture,16700
Kōchi Prefecture,2637
Mie Prefecture,6306
Miyagi Prefecture,15035
Miyazaki Prefecture,3482
Nagano Prefecture,5999
Nagasaki Prefecture,6878
Nara Prefecture,4700
Niigata Prefecture,6103
Okayama Prefecture,6712
Okinawa Prefecture,8936
Osaka Prefecture,48544
Saga Prefecture,4906
Saitama Prefecture,28389
Shiga Prefecture,5053
Shimane Prefecture,2662
Shizuoka Prefecture,13223
Tochigi Prefecture,7107
Tokushima Prefecture,2202
Tokyo,75951
Tottori Prefecture,1280
Toyama Prefecture,3464
Unknown,111
Wakayama Prefecture,2676
Yamagata Prefecture,3147
Yamaguchi Prefecture,4160
Yamanashi Prefecture,2671
Ōita Prefecture,5687
