Location name,Amount spent (UYU)
Artigas Department,192
Canelones Department,884
Cerro Largo Department,227
Colonia Department,527
Durazno Department,120
Flores Department,≤100
Florida Department,147
Lavalleja Department,136
Maldonado Department,378
Montevideo Department,4209
Paysandú Department,332
Rivera Department,339
Rocha Department,151
Río Negro Department,120
Salto Department,382
San José Department,196
Soriano Department,164
Tacuarembó Department,254
Treinta y Tres Department,166
Unknown,≤100
