Location name,Amount spent (THB)
Amnat Charoen,102
Ang Thong,113
Ayutthaya,448
Bangkok,10503
Bueng Kan,117
Buriram,478
Chachoengsao,346
Chai Nat,112
Chaiyaphum,452
Chanthaburi,333
Chiang Mai,1739
Chiang Rai,464
Chon Buri,4003
Chumphon,260
Kalasin,246
Kamphaeng Phet,219
Kanchanaburi,367
Khon Kaen,1505
Krabi,653
Lampang,636
Lamphun,253
Loei,208
Lop Buri,277
Mae Hong Son,≤100
Maha Sarakham,305
Mukdahan,124
Nakhon Nayok,119
Nakhon Pathom,610
Nakhon Phanom,369
Nakhon Ratchasima,988
Nakhon Sawan,755
Nakhon Si Thammarat,706
Nan,641
Narathiwat,184
Nong Bua Lam Phu,175
Nong Khai,170
Nonthaburi,1492
Pathum Thani,590
Pattani,216
Phangnga,166
Phatthalung,427
Phayao,172
Phetchabun,266
Phetchaburi,196
Phichit,170
Phitsanulok,359
Phrae,228
Phuket,269
Prachin Buri,256
Prachuap Khiri Khan,222
Ranong,≤100
Ratchaburi,410
Rayong,528
Roi Et,386
Sa Kaeo,202
Sakon Nakhon,347
Samut Prakan,699
Samut Sakhon,1527
Samut Songkhram,≤100
Saraburi,353
Satun,120
Sing Buri,101
Sisaket,418
Songkhla,817
Sukhothai,292
Suphan Buri,314
Surat Thani,569
Surin,426
Tak,208
Trang,598
Trat,≤100
Ubon Ratchathani,645
Udon Thani,461
Unknown,≤100
Uthai Thani,105
Uttaradit,160
Yala Province,182
Yasothon,171
