Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,896
Cerro Largo Department,≤100
Colonia Department,607
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,1979
Montevideo Department,6357
Paysandú Department,8850
Rivera Department,306
Rocha Department,≤100
Río Negro Department,276
Salto Department,≤100
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
