Location name,Amount spent (EGP)
Al Sharqia Governorate,820
Alexandria Governorate,926
Aswan Governorate,208
Asyut Governorate,458
Beheira Governorate,606
Beni Suef Governorate,282
Cairo Governorate,3065
Dakahlia Governorate,1917
Damietta Governorate,248
Faiyum Governorate,238
Gharbia Governorate,807
Giza Governorate,885
Ismailia Governorate,192
Kafr el-Sheikh Governorate,459
Luxor Governorate,157
Matrouh Governorate,≤100
Minya Governorate,473
Monufia Governorate,879
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,248
Qalyubia Governorate,838
Qena Governorate,365
Red Sea Governorate,116
Sohag Governorate,560
South Sinai Governorate,≤100
Suez Governorate,119
Unknown,≤100
