Location name,Amount spent (NOK)
Akershus,3110
Aust-Agder,438
Buskerud,1203
Finnmark,453
Hedmark,805
Hordaland,2413
Møre og Romsdal,1261
Nord-Trøndelag,552
Nordland,1068
Oppland,778
Oslo,6056
Rogaland,2143
Sogn og Fjordane,481
Sør-Trøndelag,1477
Telemark,895
Troms,1027
Unknown,≤100
Vest-Agder,881
Vestfold,1402
Østfold,1245
