Location name,Amount spent (VND)
An Giang Province,55606
Bà Rịa–Vũng Tàu Province,115982
Bình Dương Province,307848
Bình Phước Province,94638
Bình Thuận Province,71925
Bình Định Province,73804
Bạc Liêu Province,38095
Bắc Giang Province,254897
Bắc Kạn Province,36755
Bắc Ninh Province,183763
Bến Tre Province,52440
Cao Bằng Province,345487
Cà Mau Province,104159
Cần Thơ,64363
Da Nang,122119
Gia Lai Province,88957
Haiphong,198236
Ho Chi Minh City,1736936
Hà Giang Province,34997
Hà Nam Province,89978
Hà Tĩnh Province,98595
Hòa Bình Province,68234
Hưng Yên Province,129670
Hải Dương Province,383073
Hậu Giang Province,22156
Khánh Hòa Province,91309
Kiên Giang Province,109180
Kon Tum Province,25327
Lai Châu Province,30808
Long An Province,136904
Lào Cai Province,820860
Lâm Đồng Province,89156
Lạng Sơn Province,60204
Nam Định Province,251882
Nghệ An Province,272550
Ninh Bình Province,112810
Ninh Thuận Province,41703
Phú Thọ Province,318335
Phú Yên Province,49405
Quảng Bình Province,75699
Quảng Nam Province,89158
Quảng Ngãi Province,149209
Quảng Ninh Province,128428
Quảng Trị Province,69747
Sóc Trăng Province,45891
Sơn La Province,93281
Thanh Hóa Province,253504
Thái Bình Province,132287
Thái Nguyên Province,158815
Thừa Thiên–Huế Province,57374
Tiền Giang Province,82576
Trà Vinh Province,42294
Tuyên Quang Province,133675
Tây Ninh Province,180096
Unknown,≤100
Vĩnh Long Province,62061
Vĩnh Phúc Province,162711
Yên Bái Province,75437
Điện Biên Province,49936
Đắk Lắk Province,128472
Đắk Nông Province,43265
Đồng Nai Province,327687
Đồng Tháp Province,58023
