Location name,Amount spent (LBP)
Beirut Governorate,2519999
Beqaa Governorate,634477
Mount Lebanon Governorate,1287462
Nabatieh Governorate,318209
North Governorate,1275223
South Governorate,461194
Unknown,≤100
