Location name,Amount spent (RON)
Alba County,954
Arad County,634
Argeș County,830
Bacău County,873
Bihor County,729
Bistrița-Năsăud County,366
Botoșani County,579
Brașov County,941
Brăila County,362
Bucharest,4058
Buzău County,417
Caraș-Severin County,331
Cluj County,1395
Constanța County,1284
Covasna County,325
Călărași County,252
Dolj County,753
Dâmbovița County,491
Galați County,653
Giurgiu County,207
Gorj County,408
Harghita County,631
Hunedoara County,621
Ialomița County,325
Iași County,2820
Ilfov County,555
Maramureș County,697
Mehedinți County,277
Mureș County,891
Neamț County,751
Olt County,340
Prahova County,1164
Satu Mare County,498
Sibiu County,774
Suceava County,755
Sălaj County,335
Teleorman County,253
Timiș County,1303
Tulcea County,206
Unknown,≤100
Vaslui County,348
Vrancea County,669
Vâlcea County,420
