Location name,Amount spent (PYG)
Alto Paraguay Department,1711
Alto Paraná Department,760121
Amambay Department,17363
Asunción,300533
Boquerón department,5072
Caaguazú Department,120271
Caazapá Department,10536
Canindeyú Department,23964
Central Department,944909
Concepción Department (Paraguay),21616
Cordillera Department,49507
Guairá Department,60049
Itapúa Department,49644
Misiones Department,15285
Paraguarí Department,25187
Presidente Hayes Department,21185
San Pedro Department,29475
Unknown,≤100
Ñeembucú Department,10606
