Location name,Amount spent (IDR)
Aceh,177962
Bali,544658
Bangka–Belitung Islands,241313
Banten,1112863
Bengkulu,274845
Central Java,5172992
Central Kalimantan,223650
Central Sulawesi,316102
East Java,3604138
East Kalimantan,955017
East Nusa Tenggara,748675
Gorontalo,190969
Jakarta,7408096
Jambi,441060
Lampung,552318
Maluku,261859
North Kalimantan,129391
North Maluku,224685
North Sulawesi,557505
North Sumatra,1001655
Papua (province),282938
Riau,747575
Riau Islands Province,394669
South Kalimantan,557522
South Sulawesi,998179
South Sumatra,657749
Southeast Sulawesi,310388
Special Region of Yogyakarta,225380
Unknown,244
West Java,4112959
West Kalimantan,714929
West Nusa Tenggara,384800
West Papua,182967
West Sulawesi,95975
West Sumatra,456198
