Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1072
Bicol Region,3806
Cagayan Valley,3621
Calabarzon,17649
Caraga,2424
Central Luzon,20911
Central Visayas,7517
Cordillera Administrative Region,2103
Davao Region,4874
Eastern Visayas,4499
Ilocos Region,4364
Metro Manila,27376
Mimaropa,2915
Northern Mindanao,4701
Soccsksargen,3323
Unknown,≤100
Western Visayas,9067
Zamboanga Peninsula,2813
