Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
217948432069023,Bolivia Maya,Bolivia Maya,409,1
964080723662055,Carlos Subirana Responde,Editorial CSS,297,2
106781781350031,QuiqueAlcalde,Enrique Leaño Palenque,175,1
106403237850347,Goberna Bolivia,Goberna,≤100,7
101029268584854,José Carlos Sánchez Verazaín,Boris Christian Lehm Murillo,≤100,1
101014104885737,Juan Carlos Medrano,Daniel Choque Mamani,≤100,1
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,≤100,1
2101400553434707,Admisión-Escuela De Posgrado De La Unalm,These ads ran without a disclaimer,≤100,1
1967100150206417,Instituto de Formación Femenina Integral - IFFI,Maya Fatima Garcia Rodriguez,≤100,3
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100,2
104831041291612,Israel Alcocer Candia,Eduardo Jose Chavez Aguilar,≤100,1
381920638544893,Soy Santa Cruz Bolivia,Soy Santa Cruz Bolivia,≤100,1
331406083686277,Vladimir Peña,Vladimir Ariel Peña Virhuez,≤100,1
517750071766113,SEDES - BENI,Cedecap Bolivia,≤100,1
454868334556847,Huawei Latinoamérica,These ads ran without a disclaimer,≤100,1
109386503839531,Juliana Andrade,These ads ran without a disclaimer,≤100,17
107989308686004,EFK Platform,These ads ran without a disclaimer,≤100,1
187461997935711,Unilever Careers,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,1
178343122212676,Deafblind International (DbI),These ads ran without a disclaimer,≤100,1
102089678252706,Rotary Club for Global Action,These ads ran without a disclaimer,≤100,1
385385178182941,SIGNUS Ecovalor,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
436791896382535,Red Eco Alternativo,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
